symbol,name,sector,is_st,close,ma5,ma10,ma20,ma60,ma5_slope_pct,ma20_slope_pct,ma60_slope_pct,avg_amount_20d_billion,above_mid_platform,platform_breakout,trend_pullback,strong_consolidation_restart,downtrend_rebound,recent5_low_rising,recent5_gain_pct,volume_breakout,volume_pullback_shrink,has_volume_bullish_day,upper_shadow_ratio,sector_strength_vs_index_3d_pct,sector_amount_expanding,sector_rank_percentile,sector_leaders_count,sector_frontline,market_index_above_ma5_ma10,market_amount_expanding,market_limit_up_premium_good,market_limit_down_risk_low
603986,兆易创新,SH Main Board,false,640.99,615.70,554.28,522.97,385.65,4.16,8.47,7.58,27.04,true,false,false,false,false,true,23.74,true,false,true,0.0137,0.02,false,25.00,97,false,false,true,false,false
300308,中际旭创,ChiNext,false,1310.01,1316.88,1242.94,1210.74,957.14,1.00,6.10,6.73,35.81,true,false,false,false,false,true,5.22,false,false,false,0.0000,-0.20,false,50.00,78,false,false,true,false,false
300502,新易盛,ChiNext,false,552.00,564.07,550.49,534.81,434.74,0.41,6.86,4.81,22.28,true,false,false,false,false,true,2.13,true,false,true,0.0217,-0.20,false,50.00,78,false,false,true,false,false
300059,东方财富,ChiNext,false,20.90,19.73,18.85,18.92,19.51,2.08,-0.08,-0.28,7.91,true,true,false,false,false,false,10.64,true,false,true,0.0469,-0.20,false,50.00,78,false,false,true,false,false
600487,亨通光电,SH Main Board,false,117.31,113.39,107.75,95.14,74.16,3.28,11.70,8.55,19.53,true,false,false,true,false,true,18.16,true,false,true,0.0338,0.02,false,25.00,97,false,false,true,false,false
688008,澜起科技,STAR Market,false,258.00,262.92,247.57,248.70,204.70,1.38,-0.16,5.06,1679.14,true,false,false,false,false,true,7.46,true,false,true,0.0116,-0.41,false,100.00,40,false,false,true,false,false
688256,寒武纪,STAR Market,false,1413.00,1400.89,1329.99,1328.85,1094.90,1.13,1.29,5.74,1814.18,true,false,false,true,false,true,5.84,true,false,true,0.0375,-0.41,false,100.00,40,false,false,true,false,false
600522,中天科技,SH Main Board,false,61.73,57.39,54.09,48.60,39.36,3.75,7.57,7.15,16.65,true,true,false,false,false,true,20.21,true,false,true,0.0471,0.02,false,25.00,97,true,false,true,false,false
000725,京东方Ａ,SZ Main Board,false,6.77,6.59,6.25,5.98,4.73,2.83,8.67,4.79,21.53,true,false,false,true,false,true,15.45,true,false,true,0.0325,-0.20,false,75.00,84,false,false,true,false,false
600584,XD长电科,SH Main Board,false,86.09,83.75,78.28,79.00,58.55,2.92,4.80,6.32,18.68,true,false,false,false,false,true,15.99,false,false,false,0.0000,0.02,false,25.00,97,false,false,true,false,false
002384,东山精密,SZ Main Board,false,255.02,260.91,240.91,229.23,188.64,1.22,4.70,7.16,19.69,true,false,false,false,false,true,6.56,true,false,true,0.0078,-0.20,false,75.00,84,false,false,true,false,false
601138,工业富联,SH Main Board,false,74.10,75.32,73.55,74.09,65.45,0.19,2.56,3.35,19.28,true,false,true,false,false,true,0.95,true,true,true,0.0001,0.02,false,25.00,97,false,false,true,false,false
002475,立讯精密,SZ Main Board,false,69.36,68.45,67.36,69.64,65.57,0.35,-1.08,2.72,13.30,false,false,false,false,false,true,1.78,true,false,true,0.0379,-0.20,false,75.00,84,false,false,true,false,false
300476,胜宏科技,ChiNext,false,338.20,357.96,345.98,352.06,327.87,-0.35,0.40,2.22,16.84,false,false,false,false,false,false,-1.83,false,false,false,0.0000,-0.20,false,50.00,78,false,false,true,false,false
002008,大族激光,SZ Main Board,false,145.11,136.88,129.62,129.83,109.76,3.15,-1.06,5.97,7.80,true,false,false,true,false,true,16.84,true,false,true,0.0001,-0.20,false,75.00,84,true,false,true,false,false
600183,生益科技,SH Main Board,false,167.87,179.16,165.76,151.03,99.70,0.16,14.21,11.21,13.87,true,false,false,false,false,false,0.88,true,false,true,0.0060,0.02,false,25.00,97,false,false,true,false,false
688525,佰维存储,STAR Market,false,389.47,378.49,350.57,332.12,292.39,2.70,5.22,4.14,1363.59,true,false,false,false,false,true,14.64,true,false,true,0.0513,-0.41,false,100.00,40,false,false,true,false,false
300750,宁德时代,ChiNext,false,392.51,399.11,395.87,405.02,414.88,-0.28,-0.77,0.06,14.99,false,false,false,false,false,false,-1.40,true,true,true,0.0077,-0.20,false,50.00,78,false,false,true,false,false
002428,云南锗业,SZ Main Board,false,111.90,104.66,97.02,91.31,77.31,2.03,4.66,7.27,8.76,true,true,false,true,false,true,10.26,true,false,true,0.0068,-0.20,false,75.00,84,false,false,true,false,false
000657,中钨高新,SZ Main Board,false,102.50,98.27,87.89,78.11,62.25,3.28,14.59,6.80,8.50,true,false,false,true,false,true,17.95,true,false,true,0.0000,-0.20,false,75.00,84,false,false,true,false,false
300394,天孚通信,ChiNext,false,311.06,325.56,311.75,315.77,268.59,0.37,5.41,3.50,15.23,false,false,false,false,false,true,1.97,true,false,true,0.0000,-0.20,false,50.00,78,false,false,true,false,false
300475,香农芯创,ChiNext,false,283.51,255.18,220.13,199.61,176.44,6.62,9.03,4.96,8.00,true,false,false,false,false,true,38.78,true,false,true,0.0580,-0.20,false,50.00,78,false,false,true,false,false
600176,中国巨石,SH Main Board,false,58.93,55.01,48.20,43.71,35.95,5.03,11.86,7.89,8.19,true,true,false,false,false,true,28.75,true,false,true,0.0526,0.02,false,25.00,97,false,false,true,false,false
301308,江波龙,ChiNext,false,596.01,580.37,548.24,539.93,459.49,2.36,1.11,4.67,10.12,true,false,false,false,false,true,12.62,true,false,true,0.0500,-0.20,false,50.00,78,false,false,true,false,false
