symbol,name,sector,is_st,close,ma5,ma10,ma20,ma60,ma5_slope_pct,ma20_slope_pct,ma60_slope_pct,avg_amount_20d_billion,above_mid_platform,platform_breakout,trend_pullback,strong_consolidation_restart,downtrend_rebound,recent5_low_rising,recent5_gain_pct,volume_breakout,volume_pullback_shrink,has_volume_bullish_day,upper_shadow_ratio,sector_strength_vs_index_3d_pct,sector_amount_expanding,sector_rank_percentile,sector_leaders_count,sector_frontline,market_index_above_ma5_ma10,market_amount_expanding,market_limit_up_premium_good,market_limit_down_risk_low
000725,京东方Ａ,深市主板,false,8.68,7.80,7.20,6.56,5.06,5.15,9.75,6.89,24.23,true,true,false,false,false,true,28.21,true,false,true,0.0081,-0.52,true,75.00,179,true,true,true,true,true
603986,兆易创新,沪市主板,false,815.00,781.06,698.38,595.32,429.25,4.66,13.83,11.31,29.69,true,false,false,false,false,true,27.15,true,false,true,0.0221,-1.14,true,100.00,136,false,true,true,true,true
300308,中际旭创,创业板,false,1270.00,1275.89,1296.39,1244.53,1013.56,-0.62,2.79,5.89,38.54,true,false,false,false,false,false,-3.05,false,false,false,0.0202,0.93,true,50.00,256,false,true,true,true,true
300502,新易盛,创业板,false,607.00,579.15,571.61,554.79,455.89,1.94,3.74,4.87,26.04,true,false,false,true,false,false,9.96,true,false,true,0.0097,0.93,true,50.00,256,true,true,true,true,true
688008,澜起科技,科创板,false,309.90,282.69,272.81,255.17,217.07,3.81,2.60,6.04,1820.82,true,true,false,false,false,true,20.12,true,false,true,0.0104,2.64,true,25.00,207,false,true,true,true,true
688256,寒武纪,科创板,false,1595.55,1498.71,1449.80,1369.00,1163.05,2.50,3.02,6.22,1900.96,true,true,false,true,false,true,12.92,true,false,true,0.0153,2.64,true,25.00,207,false,true,true,true,true
600584,长电科技,沪市主板,false,103.55,101.31,92.53,83.52,63.70,3.57,5.71,8.79,18.53,true,false,false,false,false,true,20.28,true,false,true,0.0147,-1.14,true,100.00,136,false,true,true,true,true
300476,胜宏科技,创业板,false,346.43,334.99,346.47,342.88,334.19,0.49,-2.61,1.93,15.64,true,false,false,false,false,false,2.43,false,true,false,0.0190,0.93,true,50.00,256,true,true,true,true,true
000988,华工科技,深市主板,false,184.61,172.81,171.44,162.38,141.33,2.48,2.35,3.98,12.50,true,true,false,true,false,true,12.80,true,true,true,0.0165,-0.52,true,75.00,179,true,true,true,true,true
002475,立讯精密,深市主板,false,70.40,70.63,69.54,69.25,67.29,0.30,-0.55,2.63,14.99,true,false,false,false,false,false,1.50,true,false,true,0.0068,-0.52,true,75.00,179,true,true,true,true,true
688981,中芯国际,科创板,false,158.82,153.39,145.98,137.30,123.68,2.28,1.69,3.96,1302.31,true,true,false,true,false,false,12.08,true,false,true,0.0116,2.64,true,25.00,207,false,true,true,true,true
000021,深科技,深市主板,false,64.27,56.02,50.02,43.95,35.95,7.10,9.41,7.13,7.90,true,true,false,false,false,true,40.63,true,false,true,0.0075,-0.52,true,75.00,179,true,true,true,true,true
002384,东山精密,深市主板,false,262.35,261.04,260.97,241.07,201.67,0.56,5.17,6.91,19.51,true,false,false,false,false,false,2.87,false,true,false,0.0234,-0.52,true,75.00,179,true,true,true,true,true
688012,中微公司,科创板,false,468.50,424.06,389.48,339.78,280.73,4.78,10.21,6.88,1002.70,true,true,false,false,false,true,26.04,true,false,true,0.0119,2.64,true,25.00,207,false,true,true,true,true
600176,中国巨石,沪市主板,false,72.88,70.72,62.87,51.17,39.79,4.11,17.05,10.69,10.24,true,false,false,false,false,true,23.67,true,false,true,0.0564,-1.14,true,100.00,136,true,true,true,true,true
002008,大族激光,深市主板,false,150.11,149.52,143.20,134.24,117.01,0.67,3.39,6.60,10.22,true,false,false,true,false,true,3.45,true,false,true,0.0347,-0.52,true,75.00,179,true,true,true,true,true
688041,海光信息,科创板,false,370.30,353.48,334.17,307.56,292.43,3.11,3.82,4.06,1269.47,true,true,false,true,false,true,16.81,true,false,true,0.0202,2.64,true,25.00,207,false,true,true,true,true
603019,中科曙光,沪市主板,false,107.23,98.04,92.60,87.78,89.88,4.29,2.42,1.64,5.60,true,true,false,false,false,true,23.17,true,false,true,0.0000,-1.14,true,100.00,136,true,true,true,true,true
600522,中天科技,沪市主板,false,60.68,62.16,59.78,54.06,42.20,-0.34,11.23,7.21,18.76,true,false,false,false,false,false,-1.70,true,false,true,0.0135,-1.14,true,100.00,136,true,true,true,true,true
688525,佰维存储,科创板,false,494.73,480.02,429.25,373.14,312.83,4.59,12.35,6.99,1538.20,true,false,false,false,false,true,27.03,true,false,true,0.0249,2.64,true,25.00,207,false,true,true,true,true
002281,光迅科技,深市主板,false,256.94,252.21,254.22,234.26,182.40,-0.78,5.13,8.24,13.03,true,false,false,false,false,false,-3.73,false,false,false,0.0080,-0.52,true,75.00,179,true,true,true,true,true
600487,亨通光电,沪市主板,false,109.34,113.88,113.50,105.34,79.21,-1.33,11.04,7.20,20.33,true,false,false,false,false,false,-6.58,false,false,false,0.0132,-1.14,true,100.00,136,false,true,true,true,true
300223,北京君正,创业板,false,248.90,231.86,206.58,177.79,145.19,4.97,12.20,7.53,8.60,true,true,false,false,false,true,28.30,true,false,true,0.0265,0.93,true,50.00,256,false,true,true,true,true
002463,沪电股份,深市主板,false,152.80,147.90,145.83,139.39,114.94,1.97,3.34,5.26,13.16,true,false,false,true,false,false,10.32,true,true,true,0.0149,-0.52,true,75.00,179,true,true,true,true,true
300394,天孚通信,创业板,false,302.68,316.62,321.09,317.65,276.21,-0.53,0.60,2.84,15.58,false,false,false,false,false,false,-2.69,true,false,true,0.0238,0.93,true,50.00,256,false,true,true,true,true
300408,三环集团,创业板,false,166.90,160.50,156.77,145.76,103.73,2.74,6.43,9.35,11.21,true,false,false,true,false,true,14.71,true,false,true,0.0253,0.93,true,50.00,256,false,true,true,true,true
001309,德明利,深市主板,false,942.90,912.98,813.43,720.19,612.25,4.29,10.31,7.78,10.88,true,false,false,false,false,true,24.89,true,false,true,0.0160,-0.52,true,75.00,179,false,true,true,true,true
600460,士兰微,沪市主板,false,54.66,51.50,47.03,40.42,33.09,3.05,11.32,6.84,5.95,true,false,false,true,false,true,16.20,true,false,true,0.0104,-1.14,true,100.00,136,true,true,true,true,true
