symbol,name,sector,is_st,close,ma5,ma10,ma20,ma60,ma5_slope_pct,ma20_slope_pct,ma60_slope_pct,avg_amount_20d_billion,above_mid_platform,platform_breakout,trend_pullback,strong_consolidation_restart,downtrend_rebound,recent5_low_rising,recent5_gain_pct,volume_breakout,volume_pullback_shrink,has_volume_bullish_day,upper_shadow_ratio,sector_strength_vs_index_3d_pct,sector_amount_expanding,sector_rank_percentile,sector_leaders_count,sector_frontline,market_index_above_ma5_ma10,market_amount_expanding,market_limit_up_premium_good,market_limit_down_risk_low
000725,京东方Ａ,深市主板,false,8.70,7.81,7.20,6.56,5.06,5.20,9.76,6.89,23.96,true,true,false,false,false,true,28.51,true,false,true,0.0057,-0.49,true,75.00,155,true,false,true,true,true
300308,中际旭创,创业板,false,1266.40,1275.17,1296.03,1244.35,1013.50,-0.68,2.78,5.89,38.33,true,false,false,false,false,false,-3.33,false,false,false,0.0231,0.89,true,50.00,215,true,false,true,true,true
603986,兆易创新,沪市主板,false,818.61,781.78,698.74,595.50,429.32,4.76,13.87,11.32,29.40,true,false,false,false,false,true,27.71,true,false,true,0.0176,-1.07,true,100.00,117,false,false,true,true,true
300502,新易盛,创业板,false,605.93,578.94,571.50,554.73,455.87,1.90,3.73,4.86,25.81,true,false,false,true,false,false,9.77,true,false,true,0.0114,0.89,true,50.00,215,true,false,true,true,true
688008,澜起科技,科创板,false,306.00,281.91,272.42,254.97,217.00,3.53,2.52,6.01,1804.99,true,true,false,true,false,true,18.60,true,false,true,0.0233,2.44,true,25.00,171,false,false,true,true,true
688256,寒武纪,科创板,false,1588.41,1497.28,1449.09,1368.65,1162.93,2.40,2.99,6.21,1888.67,true,true,false,true,false,true,12.41,true,false,true,0.0199,2.44,true,25.00,171,true,false,true,true,true
600584,长电科技,沪市主板,false,103.12,101.23,92.49,83.50,63.70,3.48,5.69,8.78,18.35,true,false,false,true,false,true,19.78,true,false,true,0.0189,-1.07,true,100.00,117,false,false,true,true,true
300476,胜宏科技,创业板,false,346.16,334.93,346.44,342.87,334.19,0.48,-2.61,1.93,15.57,true,false,false,false,false,false,2.35,false,true,false,0.0198,0.89,true,50.00,215,true,false,true,true,true
000988,华工科技,深市主板,false,183.62,172.61,171.34,162.33,141.31,2.37,2.32,3.96,12.40,true,true,false,true,false,true,12.20,true,true,true,0.0220,-0.49,true,75.00,155,true,false,true,true,true
002475,立讯精密,深市主板,false,70.20,70.59,69.52,69.24,67.29,0.24,-0.57,2.62,14.90,true,false,false,false,false,false,1.21,true,false,true,0.0097,-0.49,true,75.00,155,true,false,true,true,true
688981,中芯国际,科创板,false,156.48,152.93,145.75,137.18,123.64,1.97,1.60,3.93,1290.12,true,false,false,true,false,false,10.43,true,false,true,0.0267,2.44,true,25.00,171,false,false,true,true,true
002008,大族激光,深市主板,false,150.30,149.56,143.22,134.25,117.01,0.70,3.40,6.61,10.15,true,false,false,true,false,true,3.58,true,false,true,0.0334,-0.49,true,75.00,155,true,false,true,true,true
002384,东山精密,深市主板,false,263.60,261.29,261.10,241.13,201.69,0.66,5.19,6.92,19.41,true,false,false,false,false,false,3.36,false,true,false,0.0186,-0.49,true,75.00,155,true,false,true,true,true
600176,中国巨石,沪市主板,false,71.85,70.51,62.76,51.11,39.78,3.80,16.93,10.64,10.14,true,false,false,false,false,true,21.92,true,false,true,0.0715,-1.07,true,100.00,117,true,false,true,true,true
688012,中微公司,科创板,false,458.00,421.96,388.43,339.25,280.55,4.26,10.04,6.81,990.75,true,true,false,false,false,true,23.21,true,false,true,0.0351,2.44,true,25.00,171,false,false,true,true,true
000021,深科技,深市主板,false,63.89,55.95,49.98,43.93,35.95,6.95,9.36,7.11,7.77,true,true,false,false,false,true,39.80,true,false,true,0.0116,-0.49,true,75.00,155,true,false,true,true,true
603019,中科曙光,沪市主板,false,106.91,97.98,92.56,87.77,89.88,4.22,2.41,1.64,5.50,true,true,false,false,false,true,22.80,true,false,true,0.0030,-1.07,true,100.00,117,true,false,true,true,true
688041,海光信息,科创板,false,370.98,353.62,334.23,307.60,292.44,3.15,3.84,4.07,1257.73,true,false,false,true,false,true,17.03,true,false,true,0.0184,2.44,true,25.00,171,false,false,true,true,true
600522,中天科技,沪市主板,false,60.16,62.06,59.73,54.04,42.19,-0.50,11.18,7.19,18.65,true,false,false,false,false,false,-2.54,true,false,true,0.0223,-1.07,true,100.00,117,true,false,true,true,true
