stock_code,date,open,high,low,close,volume,amount,turnover_rate,is_suspended
000004.SZ,2026-03-23,5.0,5.15,5.0,5.0,,42120500.0,,false
000004.SZ,2026-03-24,4.81,5.24,4.75,5.16,,58974156.00000001,,false
000004.SZ,2026-03-25,5.19,5.24,4.95,5.11,,45347673.00000001,,false
000004.SZ,2026-03-26,5.1,5.25,5.03,5.1,,30849389.999999996,,false
000004.SZ,2026-03-27,5.0,5.13,4.95,5.04,,27705888.0,,false
000004.SZ,2026-03-30,4.99,5.06,4.8,4.81,,29023539.999999996,,false
000004.SZ,2026-03-31,4.87,4.96,4.57,4.57,,40582514.0,,false
000004.SZ,2026-04-01,4.34,4.45,4.34,4.34,,19868086.0,,false
000004.SZ,2026-04-02,4.12,4.12,4.12,4.12,,2790476.0,,false
000004.SZ,2026-04-03,3.91,3.91,3.91,3.91,,2694381.0,,false
000004.SZ,2026-04-07,3.71,3.71,3.71,3.71,,2375884.0,,false
000004.SZ,2026-04-08,3.52,3.89,3.52,3.53,,62985790.0,,false
000004.SZ,2026-04-09,3.35,3.46,3.35,3.35,,42035800.0,,false
000004.SZ,2026-04-10,3.18,3.4,3.18,3.18,,41677716.0,,false
000004.SZ,2026-04-13,3.02,3.25,3.02,3.14,,34669996.0,,false
000004.SZ,2026-04-14,3.19,3.3,3.19,3.3,,10346490.0,,false
000004.SZ,2026-04-15,3.47,3.47,3.47,3.47,,9081684.000000002,,false
000004.SZ,2026-04-16,3.64,3.64,3.64,3.64,,2650284.0,,false
000004.SZ,2026-04-17,3.82,3.82,3.48,3.76,,76823192.0,,false
000004.SZ,2026-04-20,3.57,3.57,3.57,3.57,,6612711.0,,false
000004.SZ,2026-04-21,3.39,3.39,3.39,3.39,,1255317.0,,false
000004.SZ,2026-04-22,3.22,3.22,3.22,3.22,,1154370.0,,false
000004.SZ,2026-04-23,3.06,3.06,3.06,3.06,,2711772.0,,false
000004.SZ,2026-04-24,2.91,2.91,2.91,2.91,,3891252.0000000005,,false
000004.SZ,2026-04-27,2.76,2.76,2.76,2.76,,6939192.0,,false
000004.SZ,2026-06-23,0.27,0.44,0.26,0.31,,7803753.999999999,,false
000004.SZ,2026-06-24,0.29,0.3,0.28,0.28,,1210636.0,,false
000004.SZ,2026-06-25,0.25,0.27,0.25,0.26,,3322748.0000000005,,false
000004.SZ,2026-06-26,0.26,0.28,0.25,0.28,,3180492.0,,false
000004.SZ,2026-06-29,0.28,0.31,0.27,0.31,,2889758.0,,false
000021.SZ,2026-05-18,35.58,36.81,35.18,36.81,,3485700864.0,,false
000021.SZ,2026-05-19,36.81,38.16,35.73,37.45,,11286609845.0,,false
