rank,symbol,name,decision,total_score,buy_model,selection_price,t1_price,t1_return_pct,t1_success,t2_price,t2_return_pct,t2_success,t2_price_source,t2_quote_timestamp,t2_quote_date,t2_valid,t2_error
1,601869,长飞光纤,轻仓试错,87,平台突破买点,570.58,580.0,1.651,是,574.98,0.7711,是,daily_k_close,20260625150000,20260625,是,
2,601138,工业富联,轻仓试错,85,趋势回踩买点,74.1,76.78,3.6167,是,77.01,3.9271,是,daily_k_close,20260625150000,20260625,是,
3,600522,中天科技,轻仓试错,83,平台突破买点,61.73,61.91,0.2916,是,67.88,9.9627,是,daily_k_close,20260625150000,20260625,是,
4,600703,三安光电,轻仓试错,83,平台突破买点,19.83,21.81,9.9849,是,21.49,8.3712,是,daily_k_close,20260625150000,20260625,是,
5,600487,亨通光电,轻仓试错,81,强势震荡再启动,117.31,119.02,1.4577,是,123.0,4.8504,是,daily_k_close,20260625150000,20260625,是,
6,600549,厦门钨业,轻仓试错,81,强势震荡再启动,85.43,83.03,-2.8093,否,85.86,0.5033,是,daily_k_close,20260625150000,20260625,是,
7,600176,中国巨石,只观察,77,平台突破买点,58.93,64.82,9.9949,是,71.01,20.4989,是,daily_k_close,20260625150000,20260625,是,
8,600498,烽火通信,只观察,77,平台突破买点,82.75,82.26,-0.5921,否,84.82,2.5015,是,daily_k_close,20260625150000,20260625,是,
9,603986,兆易创新,只观察,76,等待放量突破或回踩确认,640.99,705.09,10.0002,是,764.88,19.3279,是,daily_k_close,20260625150000,20260625,是,
10,600030,中信证券,只观察,75,强势震荡再启动,28.32,27.89,-1.5184,否,28.92,2.1186,是,daily_k_close,20260625150000,20260625,是,
11,002156,通富微电,只观察,73,趋势回踩买点,68.42,74.64,9.0909,是,78.15,14.221,是,daily_k_close,20260625150000,20260625,是,
12,300223,北京君正,只观察,73,平台突破买点,194.0,197.8,1.9588,是,237.36,22.3505,是,daily_k_close,20260625150000,20260625,是,
13,600183,生益科技,只观察,70,等待放量突破或回踩确认,167.87,177.3,5.6174,是,185.6,10.5617,是,daily_k_close,20260625150000,20260625,是,
14,600584,XD长电科,只观察,70,等待放量突破或回踩确认,86.09,94.7,10.0012,是,104.17,21.0013,是,daily_k_close,20260625150000,20260625,是,
15,000657,中钨高新,只观察,69,强势震荡再启动,102.5,100.08,-2.361,否,104.96,2.4,是,daily_k_close,20260625150000,20260625,是,
16,000725,京东方Ａ,只观察,69,强势震荡再启动,6.77,7.07,4.4313,是,7.51,10.9306,是,daily_k_close,20260625150000,20260625,是,
17,002407,多氟多,只观察,69,强势震荡再启动,41.8,44.25,5.8612,是,43.81,4.8086,是,daily_k_close,20260625150000,20260625,是,
18,002428,云南锗业,只观察,69,平台突破买点,111.9,123.09,10.0,是,129.98,16.1573,是,daily_k_close,20260625150000,20260625,是,
19,300433,蓝思科技,只观察,69,强势震荡再启动,53.32,52.92,-0.7502,否,55.78,4.6137,是,daily_k_close,20260625150000,20260625,是,
