rank,symbol,name,decision,total_score,buy_model,selection_price,t0_close,t0_price_diff_pct,t0_price_check,t1_date,t1_close,t1_return_pct,t2_date,t2_close,t2_return_pct,t2_success,available_max_high_2d,available_max_gain_2d_pct,available_min_low_2d,available_max_drawdown_2d_pct,data_status,missing_reason
1,601869,长飞光纤,轻仓试错,87,平台突破买点,570.58,570.58,0.0,通过,2026-06-24,580.0,1.651,,,,,594.0,4.1046,553.18,-3.0495,T2缺失，暂不能最终判断,腾讯复权日K未返回2026-06-25记录
2,601138,工业富联,轻仓试错,85,趋势回踩买点,74.1,74.1,0.0,通过,2026-06-24,76.78,3.6167,,,,,76.99,3.9001,73.0,-1.4845,T2缺失，暂不能最终判断,腾讯复权日K未返回2026-06-25记录
3,600522,中天科技,轻仓试错,83,平台突破买点,61.73,61.73,0.0,通过,2026-06-24,61.91,0.2916,,,,,63.99,3.6611,59.8,-3.1265,T2缺失，暂不能最终判断,腾讯复权日K未返回2026-06-25记录
4,600703,三安光电,轻仓试错,83,平台突破买点,19.83,19.83,0.0,通过,2026-06-24,21.81,9.9849,,,,,21.81,9.9849,19.3,-2.6727,T2缺失，暂不能最终判断,腾讯复权日K未返回2026-06-25记录
5,600487,亨通光电,轻仓试错,81,强势震荡再启动,117.31,117.31,0.0,通过,2026-06-24,119.02,1.4577,,,,,120.55,2.7619,113.66,-3.1114,T2缺失，暂不能最终判断,腾讯复权日K未返回2026-06-25记录
6,600549,厦门钨业,轻仓试错,81,强势震荡再启动,85.43,85.43,0.0,通过,2026-06-24,83.03,-2.8093,,,,,85.97,0.6321,81.18,-4.9748,T2缺失，暂不能最终判断,腾讯复权日K未返回2026-06-25记录
7,600176,中国巨石,只观察,77,平台突破买点,58.93,58.93,0.0,通过,2026-06-24,64.82,9.9949,,,,,64.82,9.9949,57.75,-2.0024,T2缺失，暂不能最终判断,腾讯复权日K未返回2026-06-25记录
8,600498,烽火通信,只观察,77,平台突破买点,82.75,82.75,0.0,通过,2026-06-24,82.26,-0.5921,,,,,84.71,2.3686,79.15,-4.3505,T2缺失，暂不能最终判断,腾讯复权日K未返回2026-06-25记录
9,603986,兆易创新,只观察,76,等待放量突破或回踩确认,640.99,640.99,0.0,通过,2026-06-24,705.09,10.0002,,,,,705.09,10.0002,630.93,-1.5694,T2缺失，暂不能最终判断,腾讯复权日K未返回2026-06-25记录
10,600030,中信证券,只观察,75,强势震荡再启动,28.32,28.32,0.0,通过,2026-06-24,27.89,-1.5184,,,,,28.8,1.6949,27.7,-2.1893,T2缺失，暂不能最终判断,腾讯复权日K未返回2026-06-25记录
11,002156,通富微电,只观察,73,趋势回踩买点,68.42,68.42,0.0,通过,2026-06-24,74.64,9.0909,,,,,74.83,9.3686,68.2,-0.3215,T2缺失，暂不能最终判断,腾讯复权日K未返回2026-06-25记录
12,300223,北京君正,只观察,73,平台突破买点,194.0,194.0,0.0,通过,2026-06-24,197.8,1.9588,,,,,199.0,2.5773,186.78,-3.7216,T2缺失，暂不能最终判断,腾讯复权日K未返回2026-06-25记录
13,600183,生益科技,只观察,70,等待放量突破或回踩确认,167.87,167.87,0.0,通过,2026-06-24,177.3,5.6174,,,,,179.38,6.8565,167.0,-0.5183,T2缺失，暂不能最终判断,腾讯复权日K未返回2026-06-25记录
